"symbol","N","Z","alpha_0(BG)","alpha_0(TS)","C6(BG)","C6(TS)","R_vdw(TS)","alpha_0(TSsurf)","C6(TSsurf)","R_vdw(TSsurf)"
"Cs+",54,55,14.99916591,,129,,,,,
"Cs-",56,55,655.9562593,,19574,,,,,
"Ba3+",53,56,8.040725388,,50,,,,,
"Ba2+",54,56,9.969829615,,71.8,,,,,
"Ba+",55,56,121.1834824,,1296,,,,,
"La3+",54,57,6.080398338,,34.7,,,,,
"La2+",55,57,52.02908905,,404,,,,,
"La+",56,57,94.1833322,,1177,,,,,
"La-",58,57,318.608817,,6805,,,,,
"La2-",59,57,316.5418129,,6767,,,,,
"Ce3+",55,58,30.6660268,,197,,,,,
"Ce2+",56,58,52.42968917,,513,,,,,
"Ce+",57,58,89.14119254,,1081,,,,,
"Ce-",59,58,308.7566781,,6460,,,,,
"Ce2-",60,58,307.9215432,,6449,,,,,
"Pr3+",56,59,37.16704449,,316,,,,,
"Pr2+",57,59,54.95751403,,549,,,,,
"Pr+",58,59,93.36415376,,1156,,,,,
"Pr-",60,59,298.597153,,6128,,,,,
"Pr2-",61,59,297.7235279,,6113,,,,,
"Nd3+",57,60,35.63914411,,296,,,,,
"Nd2+",58,60,52.68798415,,514,,,,,
"Nd+",59,60,89.64488413,,1085,,,,,
"Nd-",61,60,288.7583059,,5812,,,,,
"Nd2-",62,60,288.4621425,,5812,,,,,
"Pm3+",58,61,34.00014828,,276,,,,,
"Pm2+",59,61,50.26668767,,478,,,,,
"Pm+",60,61,85.66775015,,1011,,,,,
"Pm-",62,61,279.9914763,,5534,,,,,
"Pm2-",63,61,279.6286319,,5531,,,,,
"Sm3+",59,62,32.37339509,,255,,,,,
"Sm2+",60,62,47.93913319,,444,,,,,
"Sm+",61,62,81.78124348,,941,,,,,
"Sm-",63,62,271.6778923,,5276,,,,,
"Sm2-",64,62,271.2742066,,5270,,,,,
"Eu3+",60,63,30.844904,,237,,,,,
"Eu2+",61,63,45.70351626,,412,,,,,
"Eu+",62,63,78.0884199,,876,,,,,
"Eu-",64,63,263.7773424,,5035,,,,,
"Eu2-",65,63,263.918988,,5044,,,,,
"Gd3+",61,64,26.50681964,,188,,,,,
"Gd2+",62,64,39.27421302,,328,,,,,
"Gd+",63,64,67.21104193,,698,,,,,
"Gd-",65,64,255.5006142,,4793,,,,,
"Gd2-",66,64,255.0792362,,4786,,,,,
"Tb3+",62,65,28.30317933,,208,,,,,
"Tb2+",63,65,41.99350488,,362,,,,,
"Tb+",64,65,71.80068817,,769,,,,,
"Tb-",66,65,247.6021743,,4566,,,,,
"Tb2-",67,65,247.1966953,,4559,,,,,
"Dy3+",63,66,27.06473846,,194,,,,,
"Dy2+",64,66,40.10350538,,337,,,,,
"Dy+",65,66,68.61621806,,717,,,,,
"Dy-",67,66,240.0602045,,4353,,,,,
"Dy2-",68,66,240.1553599,,4359,,,,,
"Ho3+",64,67,25.88492406,,181,,,,,
"Ho2+",65,67,38.36930298,,315,,,,,
"Ho+",66,67,65.77255239,,672,,,,,
"Ho-",68,67,233.339601,,4165,,,,,
"Ho2-",69,67,233.4187472,,4170,,,,,
"Er3+",65,68,24.76718285,,169,,,,,
"Er2+",66,68,36.72215739,,294,,,,,
"Er+",67,68,63.04138293,,630,,,,,
"Er-",69,68,226.8966596,,3989,,,,,
"Er2-",70,68,226.9706698,,3993,,,,,
"Tm3+",66,69,23.70914836,,158,,,,,
"Tm2+",67,69,35.17916554,,276,,,,,
"Tm+",68,69,60.42412114,,590,,,,,
"Tm-",70,69,221.1561765,,3833,,,,,
"Yb3+",67,70,22.73280525,,148,,,,,
"Yb2+",68,70,33.78154259,,259,,,,,
"Yb+",69,70,58.02423831,,555,,,,,
"Lu3+",68,71,29.17518173,,215,,,,,
"Lu2+",69,71,43.36991638,,376,,,,,
"Lu+",70,71,74.63752627,,808,,,,,
"Lu-",72,71,171.1936009,,2997,,,,,
"Lu2-",73,71,180.1392674,,3423,,,,,
"Hf3+",69,72,21.65516428,,138,,,,,
"Hf2+",70,72,32.21007574,,241,,,,,
"Hf+",71,72,47.49619582,,443,,,,,
"Hf-",73,72,130.605184,,2140,,,,,
"Hf2-",74,72,132.9311225,,2317,,,,,
"Ta3+",70,73,21.61520395,,137,,,,,
"Ta2+",71,73,28.77033815,,216,,,,,
"Ta+",72,73,42.03194101,,388,,,,,
"Ta-",74,73,110.5829441,,1709,,,,,
"Ta2-",75,73,111.1041855,,1802,,,,,
"W3+",71,74,19.24590151,,121,,,,,
"W2+",72,74,25.51121877,,189,,,,,
"W+",73,74,37.13455217,,333,,,,,
"W-",75,74,98.16720668,,1437,,,,,
"W2-",76,74,97.21433253,,1470,,,,,
"Re3+",72,75,17.35136626,,108,,,,,
"Re2+",73,75,22.94965141,,167,,,,,
"Re+",74,75,33.37322163,,290,,,,,
"Re-",76,75,88.96749882,,1230,,,,,
"Re2-",77,75,88.2616446,,1254,,,,,
"Os3+",73,76,15.80752513,,97.3,,,,,
"Os2+",74,76,20.88002354,,148,,,,,
"Os+",75,76,30.4070176,,256,,,,,
"Os-",77,76,81.79879506,,1083,,,,,
"Os2-",78,76,81.28978161,,1103,,,,,
"Ir3+",74,77,14.5094386,,87.8,,,,,
"Ir2+",75,77,19.1600502,,133,,,,,
"Ir+",76,77,27.90932985,,228,,,,,
"Ir-",78,77,76.04866652,,965,,,,,
"Ir2-",79,77,75.6407796,,982,,,,,
"Pt3+",75,78,13.40330956,,79.5,,,,,
"Pt2+",76,78,17.67018875,,119,,,,,
"Pt+",77,78,25.81239276,,204,,,,,
"Pt-",79,78,71.26933347,,868,,,,,
"Pt2-",80,78,70.91342145,,881,,,,,
"Au3+",76,79,12.43344255,,72.3,,,,,
"Au2+",77,79,16.40086293,,108,,,,,
"Au+",78,79,24.02517369,,184,,,,,
"Au-",80,79,67.31574146,,788,,,,,
"Hg3+",77,80,9.004657926,,45.2,,,,,
"Hg2+",78,80,11.89452712,,67.3,,,,,
"Hg+",79,80,17.49461789,,114,,,,,
"Tl3+",78,81,8.688490795,,43.3,,,,,
"Tl2+",79,81,11.49256921,,64.3,,,,,
"Tl+",80,81,16.98077998,,109,,,,,
"Tl-",82,81,144.6204221,,2621,,,,,
"Tl2-",83,81,186.4317606,,4197,,,,,
"Pb3+",79,82,9.157015943,,47.2,,,,,
"Pb2+",80,82,12.13216218,,69.9,,,,,
"Pb+",81,82,23.4679779,,185,,,,,
"Pb-",83,82,100.7630653,,1764,,,,,
"Pb2-",84,82,108.3145086,,2121,,,,,
"Bi3+",80,83,9.604834653,,51,,,,,
"Bi2+",81,83,15.62114777,,107,,,,,
"Bi+",82,83,25.18967763,,226,,,,,
"Bi-",84,83,69.6226131,,1130,,,,,
"Bi2-",85,83,75.80186708,,1365,,,,,
"Po3+",81,84,10.75138497,,63.9,,,,,
"Po2+",82,84,15.53016047,,115,,,,,
"Po+",83,84,22.85078432,,213,,,,,
"Po-",85,84,58.83665769,,936,,,,,
"Po2-",86,84,64.01979864,,1120,,,,,
"At3+",82,85,10.79084626,,69.2,,,,,
"At2+",83,85,14.66827515,,114,,,,,
"At+",84,85,20.21371407,,190,,,,,
"At-",86,85,54.4739698,,801,,,,,
"Rn3+",83,86,12.94058497,,97.5,,,,,
"Rn2+",84,86,16.60787711,,147,,,,,
"Rn+",85,86,22.3881953,,236,,,,,
